Word,Count
la,328
Christmas,121
bells / bell,91
jingle,76
all,65
Santa,52
fa,45
with,38
Claus,36
come / comes,35
Merry,35
Hallelujah,34
sing / singing,31
baby,30
day,30
I'll,28
snow,28
world,28
one,27
will,27
sleigh,25
time,25
better,24
know,24
night,24
down,23
love,23
gave,22
hear,21
away,19
year,19
fun,18
ring,18
say,18
see,18
tonight,18
joy,17
tree,17
was,17
white,17
angel / angels,15
horse,15
right,15
want,15
bright,14
go,14
really,14
town,14
true,14
again,13
Christmastime,13
holly,13
I've,13
O,13
ride,13
rock,13
silver,13
their,13
comin',12
home,12
may,12
blue,11
give,11
good,11
heart,11
jolly,11
old,11
open,11
reindeer,11
children,10
Christ,10
cold,10
cry,10
dancing,10
every,10
heard,10
hurry,10
outside,10
someone,10
very,10
way,10
air,9
around,9
cheer,9
dong,9
heavenly,9
holy,9
look,9
sleep,9
days,8
dear,8
dreams,8
eve,8
feed,8
king,8
mistletoe,8
through,8
thump,8
together,8
chimney,7
find,7
fire,7
golden,7
ladies,7
pear,7
special,7
tears,7
winter,7
wonders / wonder,7
weather,6
wish,6
wonderland,6