Song,Lyrics
White Christmas,"I'm dreaming of a white Christmas
Just like the ones I used to know
Where the treetops glisten and children listen
To hear sleigh bells in the snow
I'm dreaming of a white Christmas
Just like the ones I used to know
Where the treetops glisten and children listen
To hear sleigh bells in the snow
I'm dreaming of a white Christmas
With every Christmas card I write
May your days be merry and bright
And may all your Christmases be white
I'm dreaming of a white Christmas 
Just like the ones I used to know
May your days be merry and bright
And may all your Christmases be white
I'm dreaming of a white Christmas 
With every Christmas card I write
May your days be merry and bright
And may all your Christmases be white
May your days be merry and bright
And may all your Christmases be white
And may all your Christmases be white  all your Christmases be white  
And may all your Christmases be white  all your Christmases be white  
And may all your Christmases be
 All your Christmases be white  
 All your Christmases be white  "
Silent Night,"Silent night  holy night
All is calm  all is bright
Round yon Virgin  Mother  Mother and Child
Holy infant so tender and mild
Sleep in heavenly peace
Sleep in heavenly
Sleep in heavenly
Sleep in heavenly
Sleep in heavenly
Sleep in heavenly peace
Silent night  holy night
All is calm  all is bright
Round yon Virgin  Mother  Mother and Child
Holy infant so tender and mild
Sleep in heavenly peace
Sleep in heavenly peace
Christ  Christ  the Savior is born
Christ  Christ  the Savior
Christ  Christ  the Savior is born"
Santa Claus is Coming to Town,"I just came back from a lovely trip along the Milky Way
Stopped off at the North Pole to spend a holiday
I called on dear old Santa Claus
To see what I could see
He took me to his workshop 
And told his plans to me  so
You better watch out  you better not cry
Better not pout  I'm telling you why
Santa Claus is comin' to town
He's making a list and checking it twice
Gonna find out who's naughty and nice
Santa Claus is comin' to town
He sees you when you're sleepin'
He knows when you're a wake
He knows if you've been bad or good
So be good for goodness sake
Oh! You better watch out  you better not cry
Better not pout  I'm telling you why
Santa Claus is comin' to town
With little tin horns and little toy drums
Rooty toot toots and rummy tum tums
Santa Claus is comin' to town
And curly head dolls that toddle and coo
Elephants  boats  and kiddie cars too
Santa Claus is comin' to town
Then kids in Girl and Boy land will have a jubilee
They're gonna build a Toyland all around the Christmas tree
So! You better watch out  you better not cry
Better not pout  I'm telling you why
Santa Claus is comin' to town
Now Santa is a busy man  He has no time to play
He's got millions of stockings to fill on Christmas day
You'd better write your letter now
And mail it right away
Because he's getting ready
His reindeer's and his sleigh. So
You better watch out  you better not cry
Better not pout  I'm telling you why
Santa Claus is comin' to town
He's making a list and checking it twice
Gonna find out who's naughty and nice
Santa Claus is comin' to town
He sees you when you're sleepin'
He knows when you're a wake
He knows if you've been bad or good
So be good for goodness sake
Oh! You better watch out  you better not cry
Better not pout  I'm telling you why
Santa Claus is comin' to town
With little tin horns and little toy drums
Rooty toot toots and rummy tum tums
Santa Claus is comin' to town
And curly head dolls that toddle and coo
Elephants  boats  and kiddie cars too
Santa Claus is comin' to town
Then kids in Girl and Boy land will have a jubilee
They're gonna build a Toyland all around the Christmas tree
So! You better watch out  you better not cry
Better not pout  I'm telling you why
Santa Claus is comin' to town"
Winter Wonderland,"Sleigh bells ring  are you listening
In the lane  snow is glistening
A beautiful sight
We're happy tonight
Walking in a winter wonderland
Gone away is the bluebird
Here to stay is a new bird
He sings a love song
As we go along
Walking in a winter wonderland
In the meadow we can build a snowman
Then pretend that he is Parson Brown
He'll say  Are you married?
We'll say  No man
But you can do the job
When you're in town
Later on  we'll conspire
As we dream by the fire
To face unafraid
The plans that we've made
Walking in a winter wonderland
In the meadow we can build a snowman
And pretend that he's a circus clown
We'll have lots of fun with mister snowman
Until the other kids knock him down
When it snows  ain't it thrilling
Though your nose gets a chilling
We'll frolic and play  the Eskimo way
Walking in a winter wonderland
Walking in a winter wonderland
Walking in a winter wonderland"
Rudolph  the Red Nosed Reindeer,"You know Dasher and Dancer and Prancer and Vixen
Comet and Cupid and Donner and Blitzen
But do you recall
The most famous reindeer of all?
Rudolph the Red Nosed Reindeer
Had a very shiny nose
And if you ever saw it
You would even say it glows
All of the other reindeer
Used to laugh and call him names
They never let poor Rudolph
Join in any reindeer games
Then one foggy Christmas Eve
Santa came to say
""Rudolph  with your nose so bright
Won't you guide my sleigh tonight?""
Then how the reindeer loved him
As they shouted out with glee
""Rudolph the Red Nosed Reindeer
You'll go down in history""
Rudolph the Red Nosed Reindeer
Had a very shiny nose
And if you ever saw it
You would even say it glows
All of the other reindeer
Used to laugh and call him names
They never let poor Rudolph
Join in any reindeer games
Then one foggy Christmas Eve
Santa came to say
""Rudolph  with your nose so bright
Won't you guide my sleigh tonight?""
Then how the reindeer loved him
As they shouted out with glee
""Rudolph the Red Nosed Reindeer
You'll go down in history"""
O Holy Night,"O holy night the stars are brightly shining
It is the night of our dear Savior's birth
Long lay the world in sin and error pining
Till He appeared and the soul felt its worth
A thrill of hope the weary world rejoices
For yonder breaks a new glorious morn
Fall on your knees
O hear the angels' voices
O night divine
O night when Christ was born
O night divine o night
O night divine
A thrill of hope the weary world rejoices
For yonder breaks a new glorious morn
Fall on your knees
O hear the angels' voices
O night divine
O night when Christ was born
O night divine o night
O night divine
Ooh yes it was
Ooh it is the night of our dear Savior's birth
Oh yeah  oh yeah  oh yeah  yeah
It was a holy holy holy  oh oh oh"
Joy to the World,"Joy to the world
Joy to the world
Joy to the world  the Lord is come
Let earth receive her King
Let every heart prepare Him room
And Heaven and nature sing
And Heaven and nature sing
And Heaven  and Heaven  and nature sing
Joy to the world
Joy to the world
Joy to the World  the Savior reigns!
Let men their songs employ
While fields and floods  rocks  hills and plains
Repeat the sounding joy
Repeat the sounding joy
Repeat  repeat  the sounding joy
Joy to the world  now we sing
Let the earth receive her king
Joy to the world  now we sing
Let the angel voices ring
Joy to the world  now we sing
Let men their songs employ
Joy to the world  now we sing
Repeat the sounding joy
Oh oh 
He rules the world with truth and grace
And makes the nations prove
The light of His righteousness
And wonders of His love
And wonders of His love
And wonders of His love
And wonders  wonders  of His love
And wonders  wonders  of His love
Joy to the world  now we sing
Let the earth receive her king
Joy to the world  now we sing
Let the angel voices ring"
Last Christmas,"Last Christmas  I gave you my heart
But the very next day you gave it away
This year  to save me from tears
I'll give it to someone special
Last Christmas  I gave you my heart
But the very next day you gave it away
This year  to save me from tears
I'll give it to someone special
Once bitten and twice shy
I keep my distance
But you still catch my eye
Tell me  baby
Do you recognize me?
Well  it's been a year
It doesn't surprise me
 Merry Christmas!   I wrapped it up and sent it
With a note saying  ""I love you  "" I meant it
Now  I know what a fool I've been
But if you kissed me now
I know you'd fool me again
Last Christmas  I gave you my heart
But the very next day you gave it away
This year  to save me from tears
I'll give it to someone special
Last Christmas  I gave you my heart
But the very next day you gave it away
This year  to save me from tears
I'll give it to someone special
A crowded room  friends with tired eyes
I'm hiding from you  and your soul of ice
My god  I thought you were someone to rely on
Me? I guess I was a shoulder to cry on
A face on a lover with a fire in his heart
A man under cover but you tore me apart
Now  I've found a real love you'll never fool me again
Last Christmas  I gave you my heart
But the very next day you gave it away
This year  to save me from tears
I'll give it to someone special
Last Christmas  I gave you my heart
But the very next day you gave it away
This year  to save me from tears
I'll give it to someone special
A face on a lover with a fire in his heart
A man under cover but you tore him apart
Maybe next year I'll give it to someone
I'll give it to someone special"
Peace on Earth / Little Drummer Boy,"Come they told me
Pa rum pum pum pum
A new born king to see
Pa rum pum pum pum
Our finest gifts we bring
Pa rum pum pum pum
To lay before the king
Pa rum pum pum pum 
Rum pum pum pum 
Rum pum pum pum
So to honor him
Pa rum pum pum pum
When we come
Pum pum pum pum
Pa rum pum pum
Pum pum pum pum
Pa rum pum pum
Pum pum pum pum
Pa rum pum pum
Pum pum pum pum pa rum
Little baby
Pa rum pum pum pum
I am a poor boy too
Pa rum pum pum pum
I have no gift to bring
Pa rum pum pum pum
That's fit to give our king
Pa rum pum pum pum 
Rum pum pum pum 
Rum pum pum pum
Shall I play for you
Pa rum pum pum pum
Pa rum pum pum
Pum pum pum pum
Mary nodded
Pa rum pum pum pum
The ox and lamb kept time
Pa rum pum pum pum
I played my drum for him
Pa rum pum pum pum
I played my best for him
Pa rum pum pum pum 
Rum pum pum pum 
Rum pum pum pum
Then he smiled at me
Pa rum pum pum pum
Me and my drum
Come they told me
Pa rum pum pum pum
A new born king to see
Pa rum pum pum pum
Me and my drum
Me and my drum
Me and my drum
Me and my drum
Rum pum pum pum"
Jingle Bell Rock,"Jingle bell  jingle bell  jingle bell rock
Jingle bells swing and jingle bells ring
Snowing and blowing up bushels of fun
Now the jingle hop has begun
Jingle bell  jingle bell  jingle bell rock
Jingle bells chime in jingle bell time
Dancing and prancing in Jingle Bell Square
In the frosty air
What a bright time  it's the right time
To rock the night away
Jingle bell time is a swell time
To go gliding in a one horse sleigh
Giddy up jingle horse  pick up your feet
Jingle around the clock
Mix and a mingle in the jingling feet
That's the jingle bell rock
Jingle bell  jingle bell  jingle bell rock
Jingle bells chime in jingle bell time
Dancing and prancing in Jingle Bell Square
In the frosty air
Jingle bell  jingle bell  jingle bell rock
Jingle bells chime in jingle bell time
Snowing and blowing up bushels of fun
Now the jingle hop has begun
Jingle bell  jingle bell  jingle bell rock
Jingle bells chime in jingle bell time
Dancing and prancing in Jingle Bell Square
In the frosty air
What a bright time  it's the right time
To rock the night away  rock the night away  
Jingle bell time is a swell time
To go gliding in a one horse sleigh
Giddy up jingle horse  pick up your feet
Jingle around the clock
Mix and a mingle in the jingling feet
That's the jingle bell
That's the jingle bell
That's the jingle bell  rock  
Jingle bell  jingle bell  jingle bell rock
Jingle bell  jingle bell  jingle bell rock
Jingle bell  jingle bell  jingle bell rock
Woah"
Frosty the Snowman,"Frosty the Snowman
Was a jolly happy soul
With a corncob pipe and a button nose
And his eyes made out of coal
Frosty the Snowman
Made the children laugh and play
And were they surprised when
Before their eyes
He came to life that day
There must have been some magic
In that old silk hat they found
For when they placed it on his head
He began to dance around
Frosty the Snowman
Was alive as he could be
And the children say
He could laugh and play
Just the same as you and me
Frosty the Snowman
Knew the sun was hot that day
So he said let's run
And we'll have fun
Now before I melt away
So down to the village
With a broomstick in his hand
Running here and there all around the square
Saying catch me if you can
He led them down the streets of town
Right to the traffic cop
And he only paused a moment when
He heard him holler stop
Frosty the Snowman
Had to hurry on his way
But he waved goodbye
Saying don't you cry
I'll be back again some day
Thumpety thump thump
Thumpety thump thump
Look at Frosty go
Thumpety thump thump
Thumpety thump thump
Over the hills of snow"
Jingle Bells,"Merry Christmas ladies
Merry Christmas Mr. Buble
Are you ready to sing a little Jingle bells?
Yes
Jingle bells  jingle bells
Jingle all the way!
Oh what fun it is to ride in a one horse open sleigh
Jingle bells  jingle bells
Jingle all the way!
Oh what fun it is to ride in a one horse open sleigh
Dashing through the snow
In a one horse open sleigh
Over the fields we go
Laughing all the way
Bells on bob tail ring
Making spirits bright
What fun it is to ride and sing a sleighing song tonight
Jingle bells  j j jingle bells
Jingle all the way!
O' what fun it is to ride in a one horse open sleigh
Jingle bells  j j jingle bells
Jingle all the way!
O' what a lot fun  what a lot fun to ride and sing in a one horse open sleigh
Dashing through the snow  we are dashing  
In a one horse open sleigh  one horse sleigh  
Over the fields we go  over the fields we go  we go  
They are laughing all the way  all the way  
Bells on bob tail ring
Making spirits bright
What fun it is to ride and sing a sleighing song till night
Jingle bells  jingle bells
Jingle all the way!
O' what fun it is to ride in a one horse open sleigh
Jingle bells  jingle bells
Jingle all the way!
O' what fun it is to ride in a one horse open sleigh
Jingle bells  jingle bells
O' what fun it will in a one horse open sleigh
Jingle bells  jingle bells
O' what fun it is to ride in a one horse open sleigh
 Jingle bells  jingle bells
Jingle all the way!  "
Here Comes Santa Claus,"Here comes Santa Claus  here comes Santa Claus  right down Santa Claus Lane
Vixen and Blitzen and all his reindeers pulling on the reins
Bells are ringing  children singing  all is merry and bright
So hang your stockings and say your prayers  'cause Santa Claus comes tonight
Here comes Santa Claus  here comes Santa Claus  right down Santa Claus Lane
He's got a bag that's filled with toys for boys and girls again
Hear those sleigh bells jingle jangle  oh what a beautiful sight
So jump in bed and cover your head  'cause Santa Claus comes tonight
Here comes Santa Claus  here comes Santa Claus  right down Santa Claus Lane
He doesn't care if you're rich or poor  he loves you just the same
Santa Claus knows we're all God's children  that makes everything right
So fill your hearts with Christmas cheer  'cause Santa Claus comes tonight
Here comes Santa Claus  here comes Santa Claus  right down Santa Claus Lane
He'll come around when chimes ring out that it's Christmas morn' again
Peace on Earth will come to all if we just follow the light
So let's give thanks to the lord above  'cause Santa Claus comes tonight
Here comes Santa Claus  here comes Santa Claus  right down Santa Claus Lane
Vixen and Blitzen and all his reindeers pulling on the reins
Bells are ringing  children singing  all is merry and bright
Hang your stockings and say your prayers  'cause Santa Claus comes tonight"
A Holly Jolly Christmas,"Have a holly  jolly Christmas
It's the best time of the year
I don't know if there'll be snow
But have a cup of cheer
Have a holly  jolly Christmas
And when you walk down the street
Say hello to friends you know
And everyone you meet
Oh  ho the mistletoe
Hung where you can see
Somebody waits for you
Kiss her once for me
Have a holly  jolly Christmas
And in case you didn't hear
Oh by golly have a holly jolly Christmas
This year
 Have a holly  jolly Christmas
It's the best time of the year  
Have a holly  jolly Christmas
And when you walk down the street
Say hello to friends you know
And everyone you meet
Oh  ho the mistletoe
Hung where you can see
Somebody waits for you
Kiss her once for me
Have a holly  jolly Christmas
And in case you didn't hear
Oh by golly have a holly jolly Christmas
This year"
Have Yourself a Merry Little Christmas,"Have yourself a merry little Christmas
Let your heart be light
From now on your troubles will be out of sight
Have yourself a merry little Christmas
Make the Yuletide gay
From now on your troubles will be miles away
Here we are as in olden days
Happy golden days of yore
Faithful friends who are dear to us
TGather near to us once more
Through the years we all will be together
If the fates allow
Hang a shining star upon the highest place
So have yourself a merry little Christmas
Have yourself a merry little Christmas
So have yourself a merry little Christmas"
Santa Baby,"Santa baby  slip a sable under the tree for me
Been an awful good girl
Santa baby  and hurry down the chimney tonight
Santa baby  a '54 convertible too convertible too  light blue
I'll wait up for you  dear
Santa baby  so hurry down the chimney tonight
Think of all the fun I've missed
Think of all the fellas that I haven't kissed
Next year I could be also good
If you'll check off my Christmas list
Santa baby  I want a yacht and really that's not a lot
Been an angel all year
Santa baby  so hurry down the chimney tonight
Santa honey one thing I really do need  the deed
To a platinum mine
Santa baby  so hurry down the chimney tonight
Santa cutie  and fill my stocking with a duplex and checks
Sign your 'x' on the line
Santa cutie  and hurry down the chimney tonight
Come and trim my Christmas tree
With some decorations bought at Tiffany
I really do believe in you
Let's see if you believe in me
Santa baby  forgot to mention one little thing  a ring
I don't mean on the phone
Santa baby  and hurry down the chimney tonight 
Hurry down the chimney tonight 
Hurry  tonight"
