Song,Lyrics
Baby It's Cold Outside,"I really can't stay  but baby  it's cold outside  
I've got to go away  but baby  it's cold outside  
This evening has been  been hoping that you'd drop in  
So very nice  i'll hold your hands  they're just like ice  
My mother will start to worry  beautiful what's your hurry?  
My father will be pacing the floor  listen to the fireplace roar  
So really I'd better scurry  beautiful please don't hurry  
But maybe just a half a drink more  put some records on while I pour  
The neighbors might think  baby  it's bad out there  
Say what's in this drink?  no cabs to be had out there  
I wish I knew how  your eyes are like starlight now  
To break this spell  i'll take your hat  your hair looks swell  
I ought to say  no  no  no sir  mind if I move in closer?  
At least I'm gonna say that I tried  what's the sense in hurtin' my pride?  
I really can't stay  oh baby don't hold out  
But baby  it's cold outside
I simply must go  but baby  it's cold outside  
The answer is no  but baby  it's cold outside  
Your welcome has been how lucky that you dropped in  
So nice and warm  look out the window at this dawn  
My sister will be suspicious  gosh your lips look delicious  
My brother will be there at the door  waves upon the tropical shore  
My maiden aunts mind is vicious  gosh your lips are delicious  
But maybe just a cigarette more  never such a blizzard before  
I've gotta get home but baby  you'd freeze out there  
Say lend me a coat it's up to your knees out there  
You've really been grand  i thrill when you touch my hand  
But don't you see?  how can you do this thing to me?  
There's bound to be talk tomorrow  think of my lifelong sorrow  
At least there will be plenty implied  if you got pnuemonia and died  
I really can't stay  get over that old out  
Baby  it's cold
Baby  it's cold outside"
It's Beginning to Look a Lot Like Christmas,"It's beginning to look a lot like Christmas
Everywhere you go
Take a look at the five and ten  it's glistening once again
With candy canes and silver lanes that glow
It's beginning to look a lot like Christmas
Toys in every store
But the prettiest sight to see is the holly that will be
On your own front door
A pair of hop-a-long boots and a pistol that shoots
Is the wish of Barney and Ben
Dolls that'll talk and will go for a walk
Is the hope of Janice and Jen
And Mom and Dad can hardly wait for school to start again
It's beginning to look a lot like Christmas
Everywhere you go
There's a tree in the Grand Hotel  one in the park as well
It's the sturdy kind that doesn't mind the snow
It's beginning to look a lot like Christmas
Soon the bells will start
And the thing that will make 'em ring is the carol that you sing
Right within your heart
It's beginning to look a lot like Christmas
Toys in every store
But the prettiest sight to see is the holly that will be
On your own front door
Sure it's Christmas  once more"
Do They Know It's Christmas,"It's Christmastime  there's no need to be afraid
At Christmastime  we let in light and we banish shade
And in our world of plenty we can spread a smile of joy
Throw your arms around the world at Christmastime
But say a prayer  pray for the other ones
At Christmastime it's hard  but when you're having fun
There's a world outside your window
And it's a world of dread and fear
Where the only water flowing 
Is the bitter sting of tears
And the Christmas bells that ring there are the clanging chimes of doom
Well tonight thank God it's them instead of you
And there won't be snow in Africa this Christmastime
The greatest gift they'll get this year is life
Where nothing ever grows
No rain nor rivers flow
Do they know it's Christmastime at all?
Here's to you
Raise a glass for everyone
Here's to them
Underneath that burning sun
Do they know it's Christmastime at all?
Feed the world
Feed the world
Feed the world 
Let them know it's Christmastime again 
Feed the world
Let them know it's Christmastime again 
Feed the world 
Let them know it's Christmastime again 
Feed the world 
Let them know it's Christmastime again 
Feed the world
Let them know it's Christmastime again 
Feed the world
Let them know it's Christmastime again"
I'll Be Home for Christmas,"I'll be home for Christmas
You can plan on me
Please have snow and mistletoe
And presents on the tree
Christmas Eve will find me
Where the lovelight gleams
I'll be home for Christmas
If only in my dreams
I'll be home for Christmas
You can plan on me
Please have snow and mistletoe
And presents on the tree
Christmas Eve will find me
Where the lovelight gleams
I'll be home for Christmas
If only in my dreams"
Hark! the Herald Angels Sing,"Hark! the herald angels sing  
""Glory to the new-born King! 
Peace on earth  and mercy mild  
God and sinners reconciled."" 
Joyful  all ye nations  rise  
Join the triumph of the skies; 
With th' angelic host proclaim  
""Christ is born in Bethlehem."" 
Hark! the herald angels sing  
""Glory to the new-born King!
Christ  by highest heaven adored: 
Christ  the everlasting Lord; 
Late in time behold him come  
Offspring of the favoured one. 
Veiled in flesh  the Godhead see; 
Hail  th'incarnate Deity: 
Pleased  as man  with men to dwell  
Jesus  our Emmanuel! 
Hark! the herald angels sing  
""Glory to the new-born King!
Hail! the heaven-born 
Prince of peace! 
Hail! the Son of Righteousness! 
Light and life to all he brings  
Risen with healing in his wings 
Mild he lays his glory by  
Born that man no more may die: 
Born to raise the son of earth  
Born to give them second birth. 
Hark! the herald angels sing 
""Glory to the new-born King !"""
Christmastime is Here,"Christmas time is here
Happiness and cheer
Fun for all that children call
Their favorite time of the year
Snowflakes in the air
Carols everywhere
Olden times and ancient rhymes
Of love and dreams to share
Sleigh bells in the air
Beauty everywhere
Yuletide by the fireside
And joyful memories there
Christmas time is here
We'll be drawing near
Oh  that we could always see
Such spirit through the year
Oh  that we could always see
Such spirit through the year"
The Christmas Song,"Chestnuts roasting on an open fire
Jack Frost nipping at your nose
Yule-tide carols being sung by a choir
And folks dressed up like Eskimos
Everybody knows a turkey and some mistletoe
Help to make the season bright
Tiny tots with their eyes all aglow
Will find it hard to sleep tonight
They know that Santa's on his way
He's loaded lots of toys and goodies on his sleigh
And every mother's child is gonna spy
To see if reindeer really know how to fly
And so I'm offering this simple phrase
To kids from one to ninety-two
Although it's been said many times  many ways
Merry Christmas to you
And so I'm offering this simple phrase
To kids from one to ninety-two
Although it's been said many times  many ways
Merry Christmas to you"
All I Want for Christmas is You,"I don't want a lot for Christmas
There's just one thing I need
I don't care about the presents
Underneath the Christmas tree
I just want you for my own
More than you could ever know
Make my wish come true
All I want for Christmas
Is you
I don't want a lot for Christmas
There is just one thing I need
I don't care about the presents
Underneath the Christmas tree
I don't need to hang my stocking
There upon the fireplace
Santa Claus won't make me happy
With a toy on Christmas day
I just want you for my own
More than you could ever know
Make my wish come true
All I want for Christmas is you
You baby
I won't ask for much this Christmas
I won't even wish for snow
I'm just gonna keep on waiting
Underneath the mistletoe
I won't make a list and send it
To the North Pole for Saint Nick
I won't even stay awake to
Hear those magic reindeer click
'Cause I just want you here tonight
Holding on to me so tight
What more can I do
Baby all I want for Christmas is you
You
All the lights are shining
So brightly everywhere
And the sound of children's
Laughter fills the air
And everyone is singing
I hear those sleigh bells ringing
Santa won't you bring me the one I really need
Won't you please bring my baby to me
Oh I don't want a lot for Christmas
This is all I'm asking for
I just want to see my baby
Standing right outside my door
Oh I just want him for my own
More than you could ever know
Make my wish come true
Baby all I want for Christmas is you
All I want for Christmas is you baby
All I want for Christmas is you baby"
Blue Christmas,"I'll have a Blue Christmas without you
I'll be so blue just thinking about you
Decorations of red on a green Christmas tree
Won't be the same dear  if you're not here with me
And when those blue snowflakes start falling
That's when those blue memories start calling
You'll be doin' all right  with your Christmas of white
But I'll have a blue  blue blue blue Christmas
You'll be doin' all right  with your Christmas of white
But I'll have a blue  blue Christmas"
I'll Be Home for Christmas,"I'll be home for Christmas
You can plan on me
Please have snow and mistletoe
And presents on the tree
Christmas Eve will find me
Where the lovelight gleams
I'll be home for Christmas
If only in my dreams
I'll be home for Christmas
You can plan on me
Please have snow and mistletoe
And presents on the tree
Christmas Eve will find me
Where the lovelight gleams
I'll be home for Christmas
If only in my dreams"
Silver Bells,"Silver bells  silver bells
It's Christmas time in the city
Ring-a-ling   ring-a-ling   hear them ring  ting-a-ling  
Soon it will be Christmas day
City sidewalks  busy sidewalks
Dressed in holiday style
In the air there's a feeling of Christmas
Children laughing  people passing
Meeting smile after smile
And on every street corner you hear
Silver bells   silver bells   silver bells  silver bells  
It's Christmas time in the city
Ring-a-ling   ring-a-ling  
Hear them ring   hear them ring  
Soon it will be Christmas day
Strings of street lights  even stoplights
Blinkin' bright red and green
As the shoppers rush home with their treasures
Hear the snow crunch  see the kids bunch
This is Santa's big day
And above all this bustle you hear
Silver bells  The corner Santa Claus  
Silver bells  Is busy now because  
It's Christmas time in the city
Ring-a-ling  it fills the winter air
Hear them ring  you hear it everywhere
Soon it will be Christmas day
City sidewalks  busy sidewalks  Silver bells  
Dressed in holiday style  Silver bells  
In the air there's a feeling of Christmas  It's Christmas time in the city  
Children laughing  people passing  Ring-a-ling  
Meeting smile after smile  Hear them ring  
Very soon it will be Christmas day"
Let it Snow,"Oh  the weather outside is frightful
But the fire is so delightful
And since we've no place to go
Let it snow  let it snow  let it snow
Man it doesn't show signs of stoppin'
And I brought me some corn for poppin'
The lights are turned way down low
Let it snow  let it snow  let it snow
When we finally kiss good-night
How I'll hate going out in the storm
But if you really hold me tight
All the way home I'll be warm
And the fire is slowly dying
And  my dear  we're still good-bye-ing
But as long as you love me so
Let it snow  let it snow  and snow
When we finally kiss good-night
How I'll hate going out in the storm
But if you really grab me tight
All the way home I'll be warm
Oh the fire is slowly dying
And  my dear  we're still good-bye-ing
But as long as you love me so
Let it snow  let it snow  let it snow"
Hallelujah,"Well I've heard there was a secret chord
That David played and it pleased the Lord
But you don't really care for music  do you?
Well it goes like this:
The fourth  the fifth  the minor fall and the major lift
The baffled king composing Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Well your faith was strong but you needed proof
You saw her bathing on the roof
Her beauty and the moonlight overthrew ya
She tied you to her kitchen chair
And she broke your throne and she cut your hair
And from your lips she drew the Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
But baby I've been here before
I've seen this room and I've walked this floor
You know  I used to live alone before I knew ya
And I've seen your flag on the marble arch
And love is not a victory march
It's a cold and it's a broken Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Well there was a time when you let me know
What's really going on below
But now you never show that to me do ya
But remember when I moved in you
And the holy dove was moving too
And every breath we drew was Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Maybe there's a God above
But all I've ever learned from love
Was how to shoot somebody who outdrew ya
And it's not a cry that you hear at night
It's not somebody who's seen the light
It's a cold and it's a broken Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah
Hallelujah"
Carol of the Bells,"Hark how the bells 
Sweet silver bells 
All seem to say 
Throw cares away
Christmas is here 
Bringing good cheer 
To young and old 
Meek and the bold.
Ding dong ding dong
That is their song
With joyful ring
All caroling.
One seems to hear
Words of good cheer
From everywhere
Filling the air.
Oh how they pound 
Raising the sound 
O'er hill and dale 
Telling their tale.
Gaily they ring
While people sing
Songs of good cheer 
Christmas is here.
Merry  Merry  Merry  Merry Christmas 
Merry  Merry  Merry  Merry Christmas.
On on they send 
On without end 
Their joyful tone
To every home.
Ding dong ding dong
Ding dong ding dong
Hark how the bells 
Sweet silver bells 
All seem to say 
Throw cares away
 We will throw cares away  
Christmas is here 
Bringing good cheer 
To young and old 
Meek and the bold.
 Bringing cheer to the young and old  
Oh how they pound 
Raising the sound 
O'er hill and dale 
Telling their tale.
Gaily they ring
While people sing
Songs of good cheer 
Christmas is here.
Merry  Merry  Merry  Merry Christmas 
Merry Christmas
Merry  Merry  Merry  Merry Christmas 
Merry Christmas
On on they send 
On without end 
Their joyful tone
To every home."
Fairytale of New York,"It was Christmas Eve babe
In the drunk tank
An old man said to me  won't see another one
And then he sang a song
The Rare Old Mountain Dew
I turned my face away
And dreamed about you
Got on a lucky one
Came in eighteen to one
I've got a feeling
This year's for me and you
So happy Christmas
I love you baby
I can see a better time
When all our dreams come true
They've got cars big as bars
They've got rivers of gold
But the wind goes right through you
It's no place for the old
When you first took my hand
On a cold Christmas Eve
You promised me
Broadway was waiting for me
You were handsome
You were pretty
Queen of New York City
When the band finished playing
They howled out for more
Sinatra was swinging 
All the drunks they were singing
We kissed on a corner
Then danced through the night
The boys of the NYPD choir
Were singing ""Galway Bay""
And the bells were ringing out
For Christmas day
You're a bum
You're a punk
You're an old slut on junk
Lying there almost dead on a drip in that bed
You scumbag  you maggot
You cheap lousy faggot
Happy Christmas your arse
I pray God it's our last
The boys of the NYPD choir
Still singing ""Galway Bay""
And the bells were ringing out
For Christmas day
I could have been someone
Well so could anyone
You took my dreams from me
When I first found you
I kept them with me babe
I put them with my own
Can't make it all alone
I've built my dreams around you
The boys of the NYPD choir
Still singing ""Galway Bay""
And the bells are ringing out
For Christmas day"
The 12 Days of Christmas,"On the first day of Christmas my true love gave to me 
A partridge in a pear tree.
On the second day of Christmas my true love gave to me 
Two turtle doves and a partridge in a pear tree.
On the fourth day of Christ
On the third day of Christmas my true love gave to me  five golden rings
Four calling birds  three french hens 
Two turtle doves and a partridge in a pear tree
On the ninth day of Christmas   on the eighth day of Christmas  
My true love gave to me  my true love gave to me  
Nine ladies dancing  eight maids a milking  
Eight ladies dancing  seven maids a milking  
Seven ladies dancing  six maids a milking  
Six ladies dancing  five  
Better not shout  you better not cry 
You better not in a pear tree
On the ninth  no!
On the eighth  come on!
On the seventh day of Christmas  deck the halls  
My true love gave to me  with boughs of holly  
Seven swans a swimming  here we come a wassailing  
Six geese a laying  among the leaves so  
Five golden rings  Fa-la-la-la-la  
Four calling birds
Three french hens
Two turtle doves  here we come a wassailing  
The boar's head in hand bear I  among the leaves so green  
Bedeck'd with bays
And partridge in a pear tree
On the eleventh day of Christmas my true love gave to me
Eleven pipers piping  ding  
Ten lords a leaping  dong  
Nine ladies dancing  ding  
Eight maids a milking  dong  
Seven swans a swimming  ding  
Six geese a laying  dong  
Five golden rings
Four calling birds
Three french hens
Two turtle doves
And Rudolph the red nosed reindeer!
On the twelfth day of Christmas my true love gave to me
I have a little dreidel  I made it out of clay 
And when it's dry and ready  my dreidel I shall play
Oh dreidel dreidel dreidel  hey  12 days of Christmas  
 what? 8 days of Hanukkah. It's a Christmas medley  
On the twelfth day of Christmas my true love gave to me
Do do do do doot do  do de do de do de do de do de  
Do do do do doot do  do de do de do de do de do de  
On the twelfth day my true love gave to me
Twelve drummers drumming like Olympus above the Serengeti
Ba ba ba ba ba ba ba oh
Eleven pipers piping  ten lords a leaping  Ba ba ba ba ba ba ba oh  
Nine ladies dancing they were dancing for me
Eight maids a milking they were milking just for me
I had Christmas down in Africa
I had Christmas down in Africa
I had Christmas down in Africa  five golden rings  
I had Christmas down in Africa  five golden rings  
I had Christmas down in Africa  five golden rings  
Couldn't take the halls into the things we never had
Do do do do doot do  do de do de do de do de do de  
Do do do do doot do  do de do de do de do de do de  
Partridge in a big pear tree  do de do de do de do de do de  
Partridge in a big pear tree"
Angels We Have Heard on High,"Angels we have heard on high
Sweetly singing o'er the plains
And the mountains in reply
Echoing their joyous strains
Angels we have heard on high
Sweetly  sweetly through the night
And the mountains in reply
Echoing their brief delight
Gloria  in excelsis Deo
Gloria  in excelsis Deo
Shepherds  why this jubilee?
Why your joyous strains prolong?
What the gladsome tidings be
Which inspire your heavenly song?
Gloria  in excelsis Deo
Gloria  in excelsis Deo
Come to Bethlehem and see
Him whose birth the angels sing 
Come  adore on bended knee 
Christ the Lord  the newborn King.
Gloria  in excelsis Deo
Gloria  in excelsis Deo
Yeah
Gloria  in excelsis Deo
Angels we have heard
Angels we have heard on high
Angels we have heard  oh
Angels we have heard on high
Angels we have heard on high
Angels we have heard on high
In excelsis Deo"
Sleigh Ride,"Just hear those sleigh bells jingle-ing  ring-ting tingle-ing  too
Come on  it's lovely weather for a sleigh ride together with you
Outside the snow is falling and friends are calling ""yoo hoo""
Come on  it's lovely weather for a sleigh ride together with you
Our cheeks are nice and rosy and comfy cozy are we
We're snuggled up together like two birds of a feather would be
Let's take that road before us and sing a chorus or two
Come on it's lovely weather for a sleigh ride together with you
Our cheeks are nice and rosy and comfy cozy are we
We're snuggled up together like two birds of a feather would be
Let's take that road before us and sing a chorus or two
Come on it's lovely weather for a sleigh ride together with you"
Deck the Halls,"Fa la la la la  la la la la
Fa la la la la  la la la la
Oh no no
Deck the halls with boughs of holly
Fa la la la la  la la la la  fa la la la la  la la la la  
'Tis the season to be jolly
Fa la la la la  la la la la  fa la la la la  la la la la  
Don we now our gay apparel
Fa la la la la  la la la la  fa la la la la  la la la la  
Troll the ancient Yuletide carol
Fa la la la la  la la la la
Fa la la la la  la la la la la la
Fa la la la la  fa la la la
Fa la la la la  la la la la la la
Fa la la la la  fa la la la
See the blazing yule before us
Fa la la la la  la la la la  fa la la la la  la la la la  
Strike the harp and join the chorus
 Fa la la la la  la la la  fa la la la la  la la la  
Follow me in merry measure
Fa la la la la  la la la la  fa la la la la  la la la la
While I tell of Yuletide treasure
 Fa la la la la  la la la la  
Fa la la la la  la la la la la la
Fa la la la la  fa la la la
Fa la la la la  la la la la la la
Fa la la la la  fa la la la
Fast away  the old year passes
Fa la la la la  la la la la  fa la la la la  la la la la  
Hail the new  ye lads and lasses
 Fa la la  la la la  la la la  la la la  fa la la  la la la  la la la la  
Sing we joyous all together  oh
Heedless of the wind and weather
Fa la la la la  la la la la  hey  
Fa la la la la  la la la la la la  oh  
Fa la la la la  fa la la la  oh  
Oh oh fa la la la la  la la la la la la
Fa la la la la  fa la la la
Deck the halls with boughs of holly
Fa la la la la  la la la la
'Tis the season to be jolly
Fa la la la la  la la la la
Don we now our gay apparel
Fa la la la la  la la la la
Troll the ancient Yuletide carol
Fa la la la la  la la la la
Fa la la la la  la la la la
Fa la la la la  la la la la
La la la la  la la la la"